ticker,data_date,sector,industry,open,high,low,close,volume,frequency,nbss,nbsf
KOCI,2023-12-22,Properties & Real Estate,Real Estate Management & Development,50.00,50.00,50.00,50.00,5300,9,265000,0
KOIN,2023-12-22,Industrials,Building Products & Fixtures,75.00,75.00,75.00,75.00,7900,4,-52500,0
KOKA,2023-12-22,Infrastructures,Heavy Constructions & Civil Engineering,50.00,50.00,50.00,50.00,1271000,131,12050000,0
KONI,2023-12-22,Industrials,Commercial Services,1100.00,1100.00,1100.00,1100.00,600,2,-660000,0
KOPI,2023-12-22,Energy,Oil & Gas,396.00,418.00,380.00,408.00,1800,11,10200,0
KOTA,2023-12-22,Consumer Cyclicals,Tourism & Recreation,50.00,50.00,50.00,50.00,700,1,35000,0
KPAL,2023-12-22,Industrials,Machinery,50.00,50.00,50.00,50.00,0,0,0,0
KPAS,2023-12-22,Consumer Non-Cyclicals,Personal Care Products,62.00,62.00,62.00,62.00,0,0,0,0
KPIG,2023-12-22,Consumer Cyclicals,Tourism & Recreation,62.00,63.00,61.00,63.00,7786300,154,22250200,117431800
KRAH,2023-12-22,Industrials,Machinery,436.00,436.00,436.00,436.00,0,0,0,0
KRAS,2023-12-22,Basic Materials,Metals & Minerals,142.00,145.00,142.00,144.00,3189300,407,-394707008,-255840992
KREN,2023-12-22,Technology,Online Applications & Services,50.00,50.00,50.00,50.00,958100,86,47905000,47880000
KRYA,2023-12-22,Infrastructures,Heavy Constructions & Civil Engineering,57.00,57.00,55.00,57.00,1109300,196,5787700,0
KUAS,2023-12-22,Industrials,Building Products & Fixtures,50.00,51.00,50.00,50.00,53700,15,-2392100,-5000
LABA,2023-12-22,Industrials,Machinery,50.00,50.00,50.00,50.00,1300,4,65000,0
LAJU,2023-12-22,Transportation & Logistic,Logistics & Deliveries,61.00,63.00,59.00,60.00,11161100,778,-273458816,0
LAND,2023-12-22,Properties & Real Estate,Real Estate Management & Development,12.00,12.00,12.00,12.00,10672800,174,83851200,-35172000
LAPD,2023-12-22,Infrastructures,Electric Utilities,5.00,5.00,5.00,5.00,1206800,85,-1312500,0
LCGP,2023-12-22,Properties & Real Estate,Real Estate Management & Development,114.00,114.00,114.00,114.00,0,0,0,0
LCKM,2023-12-22,Infrastructures,Wireless Telecommunication Services,288.00,288.00,286.00,286.00,10100,4,0,-2908600
